0,1,OYO LIFE CHN978 Karappakam,"Sholinganallur, Old Mahabalipuram Rd, Elcot Sez, Karappakam",Unisex,NA,"₹ 7999
/month
Sharing Room
₹ 17999
/month
Private Room
+ 1 MONTH SECURITY DEPOSIT ON EACH OCCUPANCY",  Refrigerator  3 Hr Power Backup  Free Wifi  Dining Area  Parking Facility  Attached Bathroom  CCTV Cameras  Fire Extinguisher  AC  Bed with Mattress  Mirror ,"[u'https://images.oyoroomscdn.com/uploads/hotel_image/62830/small/760949a5d107d4eb.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62830/small/29980806c4e98708.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62830/small/f24131abad00f5bb.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62830/small/e5fa62d764d7430b.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62830/small/3b20de963e801641.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62830/small/7660e233945b76a2.jpg']"
1,2,OYO LIFE CHN975 Perungudi,"Corporation Rd, Seevaram, Perungudi",Unisex,NA,"₹ 6799
/month
Sharing Room
₹ 17999
/month
Private Room
+ 1 MONTH SECURITY DEPOSIT ON EACH OCCUPANCY",  Refrigerator  3 Hr Power Backup  Free Wifi  Dining Area  Parking Facility  Attached Bathroom  CCTV Cameras  Fire Extinguisher  Microwave  Bed with Mattress  Mirror ,"[u'https://images.oyoroomscdn.com/uploads/hotel_image/62730/small/d90ae1bd834b6de0.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62730/small/4522950f90226071.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62730/small/88a3808a9c1ea471.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62730/small/ebabd9d7e40b0966.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62730/small/5945b59692ca5361.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62730/small/d35090d757d99090.jpg']"
2,3,OYO LIFE CHN970 Semmencherry,"145/2B, Jagajeevanram Street,,Semmencherry",Unisex,"Facilities
Facilities:A comfortable space in an area close enough to the bustle sounds too good to be true? But weve made it happen. And now you can call it home! Choose a furnished single or a twin room equipped with a bed and a wardrobe. Dont worry your mom will never know the mess you made while eating and those stained clothes, we have a washing machine to wash all your secrets. Also, theres no brokerage and just 1-month security deposit. Cozy up with the friends youll make here and catch your most-loved sitcom - its really the perfect place for perfect evenings!","₹ 9099
/month
Sharing Room
₹ 20999
/month
Private Room
+ 1 MONTH SECURITY DEPOSIT ON EACH OCCUPANCY",  Refrigerator  3 Hr Power Backup  Free Wifi  Dining Area  Parking Facility  Attached Bathroom  CCTV Cameras  Fire Extinguisher  DTH  TV  Bed with Mattress  Mirror ,"[u'https://images.oyoroomscdn.com/uploads/hotel_image/62579/small/8cd125e574c7370f.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62579/small/8d1e4d51c73553ec.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62579/small/9792f325c3d4bc89.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62579/small/85ff9b8fe19a6d9f.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62579/small/fa8f102a91028966.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62579/small/9a6665f4c4b246c5.jpg']"
3,4,OYO LIFE CHN956 Perumbakkam,"ramalingam street, sekaran nagar,perumbakkam",Women,"A comfortable space in an area close enough to the bustle — sounds too good to be true? But we’ve made it happen. And now you can call it home! Choose a furnished single or a twin room equipped with a bed and a wardrobe. Don’t worry your mom will never know the mess you made while eating and those stained clothes, we have a washing machine to wash all your secrets. Also, there’s no brokerage and just 1-month security deposit. Cozy up with the friends you’ll make here and catch your most-loved sitcom - it’s really the perfect place for perfect evenings!","₹ 7399
/month
Sharing Room
₹ 16799
/month
Private Room
+ 1 MONTH SECURITY DEPOSIT ON EACH OCCUPANCY",  Refrigerator  3 Hr Power Backup  Free Wifi  Dining Area  Attached Bathroom  CCTV Cameras  Fire Extinguisher  AC  Bed with Mattress  Mirror ,"[u'https://images.oyoroomscdn.com/uploads/hotel_image/62170/small/7f3e09dbf492a132.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62170/small/223174c04499dd61.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62170/small/dd146b2a31e13163.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62170/small/17c1f91096894128.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62170/small/20987b8718f4cc54.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62170/small/5b3420ba9cdf8527.jpg']"
4,5,OYO LIFE CHN901 SIPCOT IT Park,"46 thaiyur, Old Mahabalipuram Rd.",Unisex,"NA
Facilities
Facilities: Located in a well-connected residential area in Ramalingapuram, this OYO LIFE house is perfect for those who want a homely environment. With modern amenities and spacious interiors, this house is ideal for those who prefer a millennial cozy space to live. The bedrooms have modern furnishings including a wardrobe and full-length mirror. Bedrooms also boast of comfortable beds and attached bathrooms with provision for hot water. You will have 24x7 access to a fully functional kitchen with basic utensils, a refrigerator, microwave, induction plate, and a water purifier. There is a common laundry area with fully automatic washing machines. Access to high-speed wifi will ensure your connectivity with the world at all times. Here, we also take care of weekly housekeeping. You can use modern furniture to relax and unwind while watching TV. The dining area is perfect for a dine out with your flatmates..
What's Nearby
1.8 Kms from Hindustan Institute of Science and Technology
5.6 Kms from Kovalam Beach
Easily approachable by Uber, Ola, Zomato and Swiggy There's more bus stop, grocery stores, multiple ATMs, a chemist, a salon, and a few eateries are all within 200 meters or at a walkable distance.","₹ 6899
/month
Twin Sharing
X2
₹ 5799
/month
Triple Sharing
X3
₹ 13799
/month
Private Room
+ 1 MONTH SECURITY DEPOSIT ON EACH OCCUPANCY",  Refrigerator  3 Hr Power Backup  Free Wifi  Dining Area  Parking Facility  Attached Bathroom  CCTV Cameras  Fire Extinguisher  DTH  AC  TV  Bed with Mattress  Mirror ,"[u'https://images.oyoroomscdn.com/uploads/hotel_image/59785/small/57fdc2e9fe350acc.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/59785/small/925c871e1adbc0b6.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/59785/small/7614c765b0b87998.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/59785/small/21ad9f960a2dff8f.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/59785/small/409ea59db519f888.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/59785/small/ab61ed648c8699d0.jpg']"
5,6,OYO LIFE CHN916 Sholinganallur,"70 Global Hospital Rd, Kailash Nagar",Unisex,"Facilities
Located in a well-connected residential area in Perumabakkam, this OYO LIFE house is perfect for those who want a homely environment. With modern amenities and spacious interiors, this house is ideal for those who prefer a millennial cozy space to live. The bedrooms have modern furnishings including wardrobe and full-length mirror. Bedrooms also boast of comfortable beds and attached bathrooms with provision for hot water. You will have 24x7 access to fully functional kitchen with basic utensils, a refrigerator, microwave, induction plate, and a water purifier. There is a common laundry area with fully automatic washing machines. Access to high-speed wifi will ensure your connectivity with the world at all times. Here, we also take care of weekly housekeeping. You can use the modern furniture to relax and unwind while watching TV. The dining area is perfect for a dine out with your flatmates.
What's Nearby
2.5 Kms from Elcot SEZ
4.0 Kms from Apollo Medical Centre
700 Mtrs from Gleneagles Global Health City
Easily approachable by Uber, Ola, Zomato and Swiggy Theres more bus stop, grocery stores, multiple ATMs, a chemist, a salon, and a few eateries are all within 200 meters or at a walkable distance.","₹ 8399
/month
Twin Sharing
X2
₹ 7399
/month
Triple Sharing
X3
₹ 16799
/month
Private Room
+ 1 MONTH SECURITY DEPOSIT ON EACH OCCUPANCY",  Refrigerator  3 Hr Power Backup  Free Wifi  Dining Area  Parking Facility  Attached Bathroom  CCTV Cameras  Fire Extinguisher  DTH  AC  TV  Bed with Mattress  Mirror ,"[u'https://images.oyoroomscdn.com/uploads/hotel_image/60331/small/948b4b10d76fbd1c.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/60331/small/f95733121b7ffb71.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/60331/small/9ff2aea8cdc89d3e.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/60331/small/42eef3a84b884249.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/60331/small/a8b25bf1b76fef37.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/60331/small/e49a6c1e5295561b.jpg']"
6,7,OYO LIFE CHN895 Nandanam,"26/55, Canal Bank Rd, CIT Nagar East, Nandanam, Chennai, Tamil Nadu",Unisex,"NA
Facilities
Located in a well-connected residential area in CIT Nagar East, OYO LIFE house is perfect for those who want a homely environment. Experience of cozy and comfortable environment, With all modern amenities. The property has spacious interiors and is ideal for those who prefer a millennial space to live. The bedrooms have modern furnishings including wardrobe. Luxurious bedrooms also boast of comfortable beds and attached bathrooms with provision for hot water. You will have all the round access to a fully functional kitchen with basic utensils, a refrigerator, induction plate, and a water purifier. There is a common laundry area with fully automatic washing machines. Access to high-speed Wi-Fi will ensure your connectivity with the world at all times. Here, we also take care of weekly housekeeping.","₹ 10499
/month
Twin Sharing
X2
₹ 7999
/month
Triple Sharing
X3
₹ 7399
/month
Four Sharing
X4
₹ 13699
/month
Private Room
+ 1 MONTH SECURITY DEPOSIT ON EACH OCCUPANCY",  Refrigerator  3 Hr Power Backup  Free Wifi  Dining Area  Parking Facility  Attached Bathroom  CCTV Cameras  Fire Extinguisher  AC  Bed with Mattress  Mirror ,"[u'https://images.oyoroomscdn.com/uploads/hotel_image/59620/small/a47605a7623c8842.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/59620/small/fd61e675b74cc594.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/59620/small/f36366e25bea29a8.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/59620/small/4212941426264520.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/59620/small/a8e1cce2a2b0723b.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/59620/small/303031a2828c234c.jpg']"
7,8,OYO LIFE CHN980 Velachery,VGP selva nagar extension 5th street Velachery,Women,NA,"₹ 5999
/month
Sharing Room
₹ 13999
/month
Private Room
+ 1 MONTH SECURITY DEPOSIT ON EACH OCCUPANCY",  Weekly Housekeeping  Stay Supervisor  Safety Locks  Refrigerator  3 Hr Power Backup  Free Wifi  24x7 Facility Manager  Dining Area  Parking Facility  Attached Bathroom  Bed with Mattress  Mirror  TV  Chromecast  Cozy Design Spaces  Dining Area  DTH  Induction Oven  Refrigerator  RO Water Filter  Microwave ,"[u'https://images.oyoroomscdn.com/uploads/hotel_image/62919/small/ada654753c1be160.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62919/small/ad1c51ce37e57124.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62919/small/fcb422f063713461.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62919/small/929b18c2fc1dcac3.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62919/small/68c2ca0ff6217922.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62919/small/17b35e79f456c581.jpg']"
8,9,OYO LIFE CHN976 Thiruvanmiyur,"Kaveri Nagar 2nd St, Valmiki Nagar, Kalyani Nagar, Lakshman Perumal Nagar",Unisex,NA,"₹ 8099
/month
Sharing Room
₹ 26699
/month
Private Room
+ 1 MONTH SECURITY DEPOSIT ON EACH OCCUPANCY",  Weekly Housekeeping  Stay Supervisor  Refrigerator  3 Hr Power Backup  Free Wifi  24x7 Facility Manager  Dining Area  Parking Facility  Attached Bathroom  AC  Bed with Mattress  Mirror  TV  Cozy Design Spaces  Dining Area  DTH  Induction Oven  RO Water Filter  Microwave ,"[u'https://images.oyoroomscdn.com/uploads/hotel_image/62769/small/ce4d65c69fe98bba.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62769/small/844965ad594a8a67.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62769/small/c3b2ea7cfb9f919b.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62769/small/a18e034831650153.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62769/small/f8e56d7b1d1fb7b4.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62769/small/2966aa019655e4a8.jpg']"
9,10,OYO LIFE CHN981 Perungudi,"Corporation Rd, Perungudi",Unisex,NA,"₹ 8199
/month
Sharing Room
₹ 18999
/month
Private Room
+ 1 MONTH SECURITY DEPOSIT ON EACH OCCUPANCY",  Weekly Housekeeping  Stay Supervisor  Refrigerator  3 Hr Power Backup  Free Wifi  24x7 Facility Manager  Dining Area  Parking Facility  Attached Bathroom  AC  Bed with Mattress  Mirror  TV  Cozy Design Spaces  Dining Area  DTH  Induction Oven  Refrigerator  RO Water Filter  Microwave ,"[u'https://images.oyoroomscdn.com/uploads/hotel_image/62939/small/2fee4a41db5a05bd.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62939/small/4d8dce1fe23e7e1a.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62939/small/e74e5a7983807d67.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62939/small/b5befa99d2480839.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62939/small/a6d5eb0dd2c0f4bb.jpg', u'https://images.oyoroomscdn.com/uploads/hotel_image/62939/small/239f1cd1c67fc41c.jpg']"
